payload.EnqueuedTime,payload.BuildingId,payload.EquipmentId,payload.FloorId,payload.SensorId,payload.SensorName,payload.SpaceId,payload.Telemetry.Return air CO2 set point,payload.Telemetry.ReturnAirCO2,payload.Unit,payload.Telemetry.Vibration amplitude-x,payload.Telemetry.Vibration amplitude-y,payload.Telemetry.Vibration amplitude-z,payload.Telemetry.Exhaust air temperature,payload.Telemetry.Fresh air temperature,payload.Telemetry.Mixed air temperature,payload.Telemetry.OccupancyCount,payload.Telemetry.Off coil humidity,payload.Telemetry.Return air humidity,payload.Telemetry.Off coil temperature,payload.Telemetry.Return air temperature,payload.Telemetry.Supply air humidity,payload.Telemetry.Supply air temperature,payload.Telemetry.Supply_Air_Humidity_Setpoint,payload.Telemetry.Supply_Air_Temperature_Setpoint
2022-06-06T20:59:33.9692350Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,3,'-3,3,,,,,,,,,,,,
2022-06-06T20:59:34.4441220Z,1001,280113,179,584884,Gas Sensor,,630,443,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:34.8176538Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,43,29,,,22,,39,
2022-06-06T20:59:35.2186644Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,30,,,,,,,,
2022-06-06T20:59:35.3953939Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,23,21,24,,,,47,16,,20,,27
2022-06-06T20:59:38.5492510Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,0,0,'-5,,,,,,,,,,,,
2022-06-06T20:59:38.5931614Z,1001,280113,179,584884,Gas Sensor,,819,608,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:38.8430761Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,34,23,,,47,,49,
2022-06-06T20:59:39.3686646Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,95,,,,,,,,
2022-06-06T20:59:39.8446974Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-6,'-4,2,,,,,,,,,,,,
2022-06-06T20:59:39.8901479Z,1001,280113,179,584884,Gas Sensor,,917,828,ppm,,,,,,,,,,,,,,,
